classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 2.1,FPN 2.1,Poland,2017,0.381,2.597,0.252,1.719,0.051,0.348,2.909,7.46,1.925,0.39,0.584,1.84,0.651,2.05,0.377,1.19,0.09,0.28,0.318,0.89,2.8,0.201,0.224,0.13,0.031,0.306,0.109,0.0,0.1,1.0,0.0,0.0,0.4,37974826
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,2017,0.278,2.244,0.203,1.638,0.046,0.368,2.513,6.1,1.835,0.412,0.583,2.15,0.687,2.54,0.275,1.01,0.078,0.29,0.271,0.62,2.29,0.232,0.273,0.109,0.031,0.247,0.108,0.1,0.7,1.1,0.0,0.1,0.1,10300300
Food Prices for Nutrition 2.1,FPN 2.1,Romania,2017,0.273,2.608,0.205,1.952,0.046,0.437,2.921,5.97,2.186,0.489,0.945,2.64,0.697,1.95,0.351,0.98,0.073,0.2,0.358,0.497,1.39,0.324,0.239,0.12,0.025,0.17,0.123,0.9,8.0,11.9,0.2,1.6,2.3,19588715
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,2017,0.343,2.812,0.241,1.978,0.066,0.541,3.149,5.2,2.215,0.606,0.98,2.72,0.745,2.07,0.191,0.53,0.135,0.38,0.36,0.739,2.05,0.311,0.237,0.061,0.043,0.235,0.114,0.0,0.8,3.3,0.0,1.1,4.7,144496739
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,2017,1.808,2.329,0.908,1.171,0.529,0.681,2.609,3.42,1.311,0.763,0.919,1.58,0.481,0.83,0.136,0.23,0.19,0.33,0.58,0.303,0.52,0.352,0.184,0.052,0.073,0.116,0.222,28.1,61.3,87.0,3.4,7.5,10.6,12230339
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,2017,0.702,2.936,0.548,2.294,0.191,0.8,3.288,3.67,2.569,0.896,1.015,2.13,0.241,0.51,0.392,0.82,0.117,0.25,0.477,1.046,2.19,0.309,0.073,0.119,0.036,0.318,0.145,8.0,63.4,76.6,0.0,0.1,0.2,208036
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,2017,0.677,1.955,0.574,1.659,0.23,0.665,2.19,2.94,1.858,0.745,0.377,0.94,0.422,1.05,0.124,0.31,0.19,0.47,0.401,0.677,1.69,0.172,0.193,0.057,0.087,0.309,0.183,3.3,43.2,53.6,0.5,6.5,8.1,15157793
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,2017,0.608,3.634,0.398,2.383,0.09,0.537,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024,0.226,0.141,3.2,14.3,27.2,0.2,1.0,1.9,7020858
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,2017,0.807,3.58,0.437,1.937,0.128,0.566,4.01,6.32,2.169,0.634,1.088,2.86,0.476,1.25,0.875,2.3,0.095,0.25,0.381,1.094,2.87,0.271,0.119,0.218,0.024,0.273,0.095,0.1,2.5,9.3,0.0,0.0,0.0,95843
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,2017,1.323,2.538,1.025,1.965,0.579,1.11,2.842,2.29,2.201,1.243,0.754,1.15,0.298,0.45,0.257,0.39,0.122,0.19,0.655,0.756,1.15,0.265,0.105,0.09,0.043,0.266,0.23,34.8,73.3,84.2,2.7,5.6,6.5,7677565
