classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_poverty_line,cost_healthy_diet,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2018,3.898,3.859,9.0,0.6,7025037
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2019,3.935,3.896,8.0,0.6,6975761
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,2020,4.149,4.108,8.5,0.6,6934015
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,2018,3.329,3.296,82.2,16.2,19751466
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,2019,3.273,3.24,79.4,16.1,20321383
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,2020,3.379,3.345,80.1,16.7,20903278
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,2018,2.832,2.804,97.0,10.8,11175379
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,2019,2.811,2.783,96.9,11.2,11530577
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,2020,2.973,2.943,97.2,11.6,11890781
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,2018,3.447,3.413,39.6,0.2,543764
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,2019,3.519,3.484,37.6,0.2,549936
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,2020,3.599,3.563,38.1,0.2,555988
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,2018,2.711,2.684,60.4,15.2,25216261
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,2019,2.772,2.744,60.2,15.6,25876387
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,2020,2.836,2.808,60.7,16.1,26545864
Food Prices for Nutrition 1.0,FPN 1.0,Canada,2018,2.94,2.911,0.7,0.3,37065178
Food Prices for Nutrition 1.0,FPN 1.0,Canada,2019,2.947,2.918,0.5,0.2,37593384
Food Prices for Nutrition 1.0,FPN 1.0,Canada,2020,3.038,3.008,0.7,0.3,38005238
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,2018,3.542,3.507,95.2,4.4,4666375
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,2019,3.606,3.57,95.1,4.5,4745179
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,2020,3.652,3.615,95.1,4.6,4829764
Food Prices for Nutrition 1.0,FPN 1.0,Chad,2018,2.756,2.728,83.3,12.9,15477727
Food Prices for Nutrition 1.0,FPN 1.0,Chad,2019,2.686,2.659,81.9,13.1,15946882
Food Prices for Nutrition 1.0,FPN 1.0,Chad,2020,2.849,2.821,83.4,13.7,16425859
Food Prices for Nutrition 1.0,FPN 1.0,Chile,2018,3.212,3.18,3.3,0.6,18729166
Food Prices for Nutrition 1.0,FPN 1.0,Chile,2019,3.245,3.213,3.3,0.6,18952035
Food Prices for Nutrition 1.0,FPN 1.0,Chile,2020,3.436,3.402,3.8,0.7,19116209
Food Prices for Nutrition 1.0,FPN 1.0,China,2018,2.657,2.63,11.4,160.5,1402760000
Food Prices for Nutrition 1.0,FPN 1.0,China,2019,2.82,2.792,10.0,141.4,1407745000
Food Prices for Nutrition 1.0,FPN 1.0,China,2020,3.013,2.983,12.0,168.7,1410929362
Food Prices for Nutrition 1.0,FPN 1.0,Colombia,2018,2.922,2.893,24.3,12.1,49661056
Food Prices for Nutrition 1.0,FPN 1.0,Colombia,2019,2.96,2.93,25.3,12.7,50339443
Food Prices for Nutrition 1.0,FPN 1.0,Colombia,2020,3.096,3.065,26.5,13.5,50882884
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Dem. Rep.",2018,2.368,2.344,93.3,78.5,84068092
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Dem. Rep.",2019,2.148,2.127,90.7,78.7,86790568
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Dem. Rep.",2020,2.098,2.077,90.0,80.6,89561404
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Rep.",2018,3.419,3.385,92.4,4.8,5244363
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Rep.",2019,3.399,3.365,92.4,5.0,5380504
Food Prices for Nutrition 1.0,FPN 1.0,"Congo, Rep.",2020,3.457,3.422,92.4,5.1,5518092
Food Prices for Nutrition 1.0,FPN 1.0,Costa Rica,2018,4.04,4.0,16.6,0.8,4999443
Food Prices for Nutrition 1.0,FPN 1.0,Costa Rica,2019,4.082,4.041,16.6,0.8,5047561
Food Prices for Nutrition 1.0,FPN 1.0,Costa Rica,2020,4.152,4.11,16.8,0.9,5094114
Food Prices for Nutrition 1.0,FPN 1.0,Côte d'Ivoire,2018,3.391,3.357,72.0,18.1,25069226
Food Prices for Nutrition 1.0,FPN 1.0,Côte d'Ivoire,2019,3.541,3.506,70.1,18.0,25716554
Food Prices for Nutrition 1.0,FPN 1.0,Côte d'Ivoire,2020,3.646,3.61,70.9,18.7,26378275
Food Prices for Nutrition 1.0,FPN 1.0,Croatia,2018,4.244,4.202,4.7,0.2,4087843
Food Prices for Nutrition 1.0,FPN 1.0,Croatia,2019,4.153,4.111,3.6,0.1,4065253
Food Prices for Nutrition 1.0,FPN 1.0,Croatia,2020,4.32,4.277,3.8,0.2,4047200
Food Prices for Nutrition 1.0,FPN 1.0,Cyprus,2018,2.897,2.868,0.1,0.0,1189262
Food Prices for Nutrition 1.0,FPN 1.0,Cyprus,2019,2.865,2.836,0.3,0.0,1198574
Food Prices for Nutrition 1.0,FPN 1.0,Cyprus,2020,2.999,2.969,0.3,0.0,1207361
Food Prices for Nutrition 1.0,FPN 1.0,Czech Republic,2018,2.951,2.921,0.2,0.0,10629928
Food Prices for Nutrition 1.0,FPN 1.0,Czech Republic,2019,2.948,2.919,0.2,0.0,10671870
Food Prices for Nutrition 1.0,FPN 1.0,Czech Republic,2020,2.996,2.966,0.2,0.0,10698896
Food Prices for Nutrition 1.0,FPN 1.0,Denmark,2018,2.465,2.44,0.2,0.0,5793636
Food Prices for Nutrition 1.0,FPN 1.0,Denmark,2019,2.457,2.432,0.4,0.0,5814422
Food Prices for Nutrition 1.0,FPN 1.0,Denmark,2020,2.57,2.544,0.4,0.0,5831404
Food Prices for Nutrition 1.0,FPN 1.0,Djibouti,2018,2.895,2.866,62.7,0.6,958923
Food Prices for Nutrition 1.0,FPN 1.0,Djibouti,2019,3.015,2.985,62.0,0.6,973557
Food Prices for Nutrition 1.0,FPN 1.0,Djibouti,2020,3.143,3.112,63.9,0.6,988002
Food Prices for Nutrition 1.0,FPN 1.0,Dominican Republic,2018,3.644,3.608,18.1,1.9,10627147
Food Prices for Nutrition 1.0,FPN 1.0,Dominican Republic,2019,3.782,3.744,17.1,1.8,10738957
Food Prices for Nutrition 1.0,FPN 1.0,Dominican Republic,2020,3.923,3.884,18.3,2.0,10847904
Food Prices for Nutrition 1.0,FPN 1.0,East Asia & Pacific,2018,3.256896551724138,3.778,22.7,508.0,2276195361
Food Prices for Nutrition 1.0,FPN 1.0,East Asia & Pacific,2019,3.45625,3.871,21.3,479.1,2288304547
Food Prices for Nutrition 1.0,FPN 1.0,East Asia & Pacific,2020,3.5252173913043485,4.054,23.1,522.3,2298110715
Food Prices for Nutrition 1.0,FPN 1.0,Ecuador,2018,2.844,2.816,19.4,3.3,17084359
Food Prices for Nutrition 1.0,FPN 1.0,Ecuador,2019,2.89,2.861,21.1,3.7,17373657
Food Prices for Nutrition 1.0,FPN 1.0,Ecuador,2020,2.958,2.928,21.4,3.8,17643060
Food Prices for Nutrition 1.0,FPN 1.0,"Egypt, Arab Rep.",2018,3.542,3.507,78.5,77.3,98423602
Food Prices for Nutrition 1.0,FPN 1.0,"Egypt, Arab Rep.",2019,3.538,3.503,75.9,76.2,100388076
Food Prices for Nutrition 1.0,FPN 1.0,"Egypt, Arab Rep.",2020,3.403,3.369,72.9,74.6,102334403
Food Prices for Nutrition 1.0,FPN 1.0,Estonia,2018,3.22,3.188,0.8,0.0,1321977
Food Prices for Nutrition 1.0,FPN 1.0,Estonia,2019,3.202,3.17,1.2,0.0,1326898
Food Prices for Nutrition 1.0,FPN 1.0,Estonia,2020,3.341,3.308,1.3,0.0,1331057
Food Prices for Nutrition 1.0,FPN 1.0,Eswatini,2018,3.383,3.349,73.0,0.8,1136274
Food Prices for Nutrition 1.0,FPN 1.0,Eswatini,2019,3.429,3.395,72.3,0.8,1148133
Food Prices for Nutrition 1.0,FPN 1.0,Eswatini,2020,3.425,3.391,71.8,0.8,1160164
Food Prices for Nutrition 1.0,FPN 1.0,Ethiopia,2018,3.179,3.147,86.9,94.9,109224410
